"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"DB юзер + неверный пароль → 401. Покрывает auth.py:74-75.","0","test_login_db_user_wrong_password","tests.api","2026-06-10","broken","2026-06-10","TestAuthDBPath","test_auth_flows","",""
"","0","test_200_health","tests.api","2026-06-10","broken","2026-06-10","TestHealth","test_users_api","",""
"","0","test_200_pagination_respects_limit[1-0]","tests.api","2026-06-10","broken","2026-06-10","TestListUsers","test_users_api","",""
"","0","test_contracts_dict_not_empty","tests.contract","2026-06-10","passed","2026-06-10","TestContractFileExists","test_api_contracts","",""
"","0","test_422_invalid_email[missing@]","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"Liveness probe должен быть публичным — k8s не передаёт auth.","0","test_health_no_auth_required","tests.api","2026-06-10","broken","2026-06-10","TestLivenessProbe","test_health","",""
"","0","test_health_ready_200","tests.api","2026-06-10","broken","2026-06-10","TestReadinessProbe","test_health","",""
"409 ответ должен соответствовать error_response контракту.","0","test_conflict_error_contract","tests.contract","2026-06-10","broken","2026-06-10","TestUserServiceContract","test_api_contracts","",""
"OpenAPI schema содержит все обязательные поля.","0","test_openapi_schema_structure","tests.api","2026-06-10","passed","2026-06-10","","test_schemathesis","",""
"Каждый endpoint задокументирован с кодами ответов.","1","test_openapi_endpoints_have_responses","tests.api","2026-06-10","passed","2026-06-10","","test_schemathesis","",""
"Email не существует в DB → 401. Покрывает auth.py:71-72.","0","test_login_nonexistent_db_user","tests.api","2026-06-10","broken","2026-06-10","TestAuthDBPath","test_auth_flows","",""
"GET /api/v1/users → user_list_response контракт.","0","test_list_users_contract","tests.contract","2026-06-10","broken","2026-06-10","TestUserServiceContract","test_api_contracts","",""
"","0","test_422_missing_required_field[password]","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"","0","test_404_nonexistent","tests.api","2026-06-10","broken","2026-06-10","TestDeleteUser","test_users_api","",""
"","0","test_422_invalid_password[no_digit]","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"","0","test_401_wrong_password","tests.api","2026-06-10","broken","2026-06-10","TestAuth","test_users_api","",""
"delete_user 204 — users.py полный happy path.","0","test_delete_user_success_path","tests.api","2026-06-10","broken","2026-06-10","TestUsersAPICoverage","test_auth_flows","",""
"","0","test_200_response_shape","tests.api","2026-06-10","broken","2026-06-10","TestGetUser","test_users_api","",""
"","0","test_404_after_delete","tests.api","2026-06-10","broken","2026-06-10","TestDeleteUser","test_users_api","",""
"","0","test_dashboard_has_logout_element","tests.api","2026-06-10","broken","2026-06-10","TestFrontendRoutes","test_frontend","",""
"Все наши эндпоинты присутствуют в схеме.","1","test_openapi_all_endpoints_present","tests.api","2026-06-10","passed","2026-06-10","","test_schemathesis","",""
"
    Schemathesis генерирует случайные валидные запросы для каждого endpoint
    и проверяет что сервер никогда не отвечает 5xx.
    ","5","test_schemathesis_no_5xx","tests.api","2026-06-10","broken","2026-06-10","","test_schemathesis","",""
"","0","test_health_returns_environment","tests.api","2026-06-10","broken","2026-06-10","TestLivenessProbe","test_health","",""
"","0","test_401_no_token","tests.api","2026-06-10","broken","2026-06-10","TestGetUser","test_users_api","",""
"404 ответ должен соответствовать error_response контракту.","0","test_not_found_error_contract","tests.contract","2026-06-10","broken","2026-06-10","TestUserServiceContract","test_api_contracts","",""
"POST /api/v1/auth/login → token_response контракт.","0","test_login_contract","tests.contract","2026-06-10","broken","2026-06-10","TestUserServiceContract","test_api_contracts","",""
"Schemathesis читает схему и находит ровно 6 операций.","796","test_schemathesis_loads_all_operations","tests.api","2026-06-10","passed","2026-06-10","","test_schemathesis","",""
"health.py:68-71 — DB exception → overall = 'down'.","439","test_db_down_sets_overall_down","tests.api","2026-06-10","passed","2026-06-10","TestHealthRouterDirect","test_health","",""
"","0","test_401_malformed_header","tests.api","2026-06-10","broken","2026-06-10","TestGetUser","test_users_api","",""
"","0","test_health_env_is_test","tests.api","2026-06-10","broken","2026-06-10","TestHealth","test_users_api","",""
"Redis недоступен в тестовой среде — статус degraded, не down.","0","test_health_ready_redis_degraded_not_down","tests.api","2026-06-10","broken","2026-06-10","TestReadinessProbe","test_health","",""
"","0","test_422_missing_required_field[email]","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"","0","test_201_returns_id_no_password","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"GET /api/v1/users/{id} → user_response контракт.","0","test_get_user_contract","tests.contract","2026-06-10","broken","2026-06-10","TestUserServiceContract","test_api_contracts","",""
"IntegrityError → HTTPException 409 — users.py:25-26.","0","test_create_duplicate_triggers_409","tests.api","2026-06-10","broken","2026-06-10","TestUsersAPICoverage","test_auth_flows","",""
"","0","test_401_unauthenticated","tests.api","2026-06-10","broken","2026-06-10","TestListUsers","test_users_api","",""
"","0","test_health_ready_database_ok","tests.api","2026-06-10","broken","2026-06-10","TestReadinessProbe","test_health","",""
"list_users return — users.py:39.","0","test_list_users_returns_response","tests.api","2026-06-10","broken","2026-06-10","TestUsersAPICoverage","test_auth_flows","",""
"","0","test_404_nonexistent","tests.api","2026-06-10","broken","2026-06-10","TestGetUser","test_users_api","",""
"main.py:87-88 — /dashboard route.","0","test_dashboard_page_serves_html","tests.api","2026-06-10","broken","2026-06-10","TestFrontendRoutes","test_frontend","",""
"","0","test_422_negative_offset","tests.api","2026-06-10","broken","2026-06-10","TestListUsers","test_users_api","",""
"","0","test_201_email_normalized_lowercase","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
