"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_openapi_schema_structure","tests.api","2026-07-08","passed","2026-07-08","","test_schemathesis","",""
"","888","test_schemathesis_loads_all_operations","tests.api","2026-07-08","passed","2026-07-08","","test_schemathesis","",""
"","4","test_200_health","tests.api","2026-07-08","passed","2026-07-08","TestHealth","test_users_api","",""
"","100","test_invalid_credentials_parametrized[chromium-nonexistent@ghost.com-somepass]","tests.e2e","2026-07-08","passed","2026-07-08","TestLoginFlow","test_auth_flow","",""
"","6","test_422_missing_required_field[email]","tests.api","2026-07-08","passed","2026-07-08","TestCreateUser","test_users_api","",""
"Health endpoint должен быть публичным — для k8s liveness probe.","4","test_health_no_auth_required","tests.api","2026-07-08","passed","2026-07-08","TestHealth","test_users_api","",""
"main.py:83-84 — /login route.","11","test_login_page_serves_html","tests.api","2026-07-08","passed","2026-07-08","TestFrontendRoutes","test_frontend","",""
"Token подписан другим секретом → 401.","4","test_token_with_wrong_secret_returns_401","tests.api","2026-07-08","passed","2026-07-08","TestAuthDBPath","test_auth_flows","",""
"","7","test_422_invalid_password[no_digit]","tests.api","2026-07-08","passed","2026-07-08","TestCreateUser","test_users_api","",""
"","6","test_422_username_too_short","tests.api","2026-07-08","passed","2026-07-08","TestCreateUser","test_users_api","",""
"","6","test_200_response_shape","tests.api","2026-07-08","passed","2026-07-08","TestGetUser","test_users_api","",""
"","7","test_422_invalid_email[@nodomain.com]","tests.api","2026-07-08","passed","2026-07-08","TestCreateUser","test_users_api","",""
"","6","test_422_invalid_email[missing@]","tests.api","2026-07-08","passed","2026-07-08","TestCreateUser","test_users_api","",""
"list_users return — users.py:39.","10","test_list_users_returns_response","tests.api","2026-07-08","passed","2026-07-08","TestUsersAPICoverage","test_auth_flows","",""
"GET /api/v1/users/{id} → user_response контракт.","284","test_get_user_contract","tests.contract","2026-07-08","passed","2026-07-08","TestUserServiceContract","test_api_contracts","",""
"main.py:87-88 — /dashboard route.","5","test_dashboard_page_serves_html","tests.api","2026-07-08","passed","2026-07-08","TestFrontendRoutes","test_frontend","",""
"","96","test_invalid_credentials_parametrized[chromium-admin-wrongpass]","tests.e2e","2026-07-08","passed","2026-07-08","TestLoginFlow","test_auth_flow","",""
"Redis недоступен в тестовой среде — статус degraded, не down.","8","test_health_ready_redis_degraded_not_down","tests.api","2026-07-08","passed","2026-07-08","TestReadinessProbe","test_health","",""
"","5","test_422_limit_over_100","tests.api","2026-07-08","passed","2026-07-08","TestListUsers","test_users_api","",""
"
        Security контракт: ни один response не должен содержать пароль.
        Проверяем рекурсивно весь JSON.
        ","286","test_no_password_leak_in_any_response","tests.contract","2026-07-08","passed","2026-07-08","TestUserServiceContract","test_api_contracts","",""
"Expired token → 401. Покрывает _verify_token line 47.","5","test_expired_token_returns_401","tests.api","2026-07-08","passed","2026-07-08","TestAuthDBPath","test_auth_flows","",""
"","319","test_schemathesis_no_5xx","tests.api","2026-07-08","passed","2026-07-08","","test_schemathesis","",""
"","7","test_401_wrong_password","tests.api","2026-07-08","passed","2026-07-08","TestAuth","test_users_api","",""
"health.py:68-71 — DB exception → overall = 'down'.","5","test_db_down_sets_overall_down","tests.api","2026-07-08","passed","2026-07-08","TestHealthRouterDirect","test_health","",""
"422 от FastAPI — проверяем что поле 'detail' присутствует.","7","test_validation_error_contract","tests.contract","2026-07-08","passed","2026-07-08","TestUserServiceContract","test_api_contracts","",""
